code_name,Instrument
units,WOD code
0,UNKNOWN: UNKNOWN
1,MBT: TYPE UNKNOWN
2,XBT: TYPE UNKNOWN
3,DBT: TYPE UNKNOWN
4,CTD: TYPE UNKNOWN
5,STD: TYPE UNKNOWN
6,XCTD: TYPE UNKNOWN
7,BOTTLE: TYPE UNKNOWN
8,UNDERWAY: UNDERWAY DATA COLLECTION INSTRUMENT; TYPE UNKNOWN
13,ANIMAL MOUNTED: TYPE UNKNOWN
101,MBT: GM-39 (Russia)
201,XBT: T7 (UNKNOWN BRAND)
202,XBT: T4 (UNKNOWN BRAND)
203,XBT: T6 (UNKNOWN BRAND)
204,XBT: T5 (UNKNOWN BRAND)
205,XBT: T10 (UNKNOWN BRAND)
206,XBT: T11 (UNKNOWN BRAND)
207,XBT: T7 (SIPPICAN)
208,XBT: T4 (SIPPICAN)
209,XBT: T6 (SIPPICAN)
210,XBT: T5 (SIPPICAN)
211,XBT: T10 (SIPPICAN)
212,XBT: T11 (SIPPICAN)
213,XBT: FAST DEEP (SIPPICAN)
214,XBT: DEEP BLUE (SIPPICAN)
215,XBT: T4 (TSK - TSURUMI SEIKI Co.)
216,XBT: T6 (TSK - TSURUMI SEIKI Co.)
217,XBT: T7 (TSK - TSURUMI SEIKI Co.)
218,XBT: (MHI; Academy of Science; Ukraine)
219,XBT: T5 (TSK - TSURUMI SEIKI Co.)
220,XBT: T10 (TSK - TSURUMI SEIKI Co.)
221,XBT: XBT-1 (SPARTON)
222,XBT: XBT-3 (SPARTON)
223,XBT: XBT-4 (SPARTON)
224,XBT: XBT-5 (SPARTON)
225,XBT: XBT-5DB (SPARTON)
226,XBT: XBT-6 (SPARTON)
227,XBT: XBT-7 (SPARTON)
228,XBT: XBT-7DB (SPARTON)
229,XBT: XBT-10 (SPARTON)
230,XBT: XBT-20 (SPARTON)
231,XBT: XBT-20DB (SPARTON)
232,XBT: DEEP BLUE (TSK - TSURUMI SEIKI Co.)
233,XBT: AXBT (TSK - TSURUMI SEIKI Co.)
234,XBT: AXBT (UNKNOWN BRAND AND TYPE)
235,XBT: DEEP BLUE; UNKNOWN BRAND
236,XBT: FAST DEEP; UNKNOWN BRAND
237,XBT: SUBMARINE-LAUNCHED EXPENDABLE BATHYTHERMOGRAPH (SSXBT) (SIPPICAN)
238,XBT: AXBT 536 (SPARTON)
301,DBT: BRANCKER RBR XL-200; mBT (Micro BT)
302,DBT: SBE 39 Temperature (and Pressure) Recorder (Sea-Bird Electronics; Inc.)
401,CTD: SBE 9 (Deep ocean precision CTD; Sea-Bird Electronics; Inc.)
402,CTD: ISTOK-4 (Russia)
403,CTD: EGandG MARK III (EGandG Ocean products)
404,CTD: NEIL BROWN MARK IIIB
405,CTD: SEACAT; TYPE UNKNOWN (Sea-Bird Electronics; Inc.)
406,CTD: GUILDLINE; MODEL UNKNOWN
407,CTD: (MHI; Academy of Science; Ukraine)
408,CTD: (Institute Oceanography; Academy of Science; Russia)
409,CTD: KROSSBIM STD ROSETTES
410,CTD: Sea-Bird Electronics; MODEL UNKNOWN
411,CTD: SBE 911plus (Sea-Bird Electronics; Inc.)
412,CTD: BISSETT-BERMAN; MODEL UNKNOWN
413,CTD: JASUS (by M. Du Chaffaut and T. Labadie)
414,CTD: PLESSEY 9040
415,CTD: PLESSEY 9400
416,CTD: PLESSEY 9041
417,CTD: PLESSEY 9060
418,CTD: NEIL BROWN MARK III
419,CTD: HYDRO PRODUCTS 612/912S
420,CTD: NEIL BROWN SMART CTD
421,CTD: PLESSEY; MODEL UNKNOWN
422,CTD: PLESSEY/GRUNDY; MODEL UNKNOWN (Notice Grundy is new Plessey name)
423,CTD: NEIL BROWN DRCM
424,CTD: SBE 102 (Sea-Bird Electronics; Inc.)
425,CTD: SBE 911 (Sea-Bird Electronics; Inc.)
426,CTD: OCEAN CASSETTE
427,CTD: NEIL BROWN; MODEL UNKNOWN
428,CTD: BECKMAN RS5-3
429,CTD: SBE 19 SEACAT profiler (Sea-Bird Electronics; Inc.)
430,CTD: GUILDLINE 8700 aka MARK II
